gvkey,year,cik,ai_score
1632,2011,6281,0
1632,2012,6281,0
1632,2013,6281,0.017241379
1632,2014,6281,0.036036036
1632,2015,6281,0.018276762
1632,2016,6281,0.021052632
1632,2017,6281,0
1632,2018,6281,0
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2007,320193,0.002023472
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2010,320193,0.002826701
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2011,320193,0.010143198
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2012,320193,0.011139476
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2013,320193,0.02748654
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2014,320193,0.0370671
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2015,320193,0.04195509
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2016,320193,0.060321831
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2017,320193,0.081601418
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
1690,2018,320193,0.08389103
